what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.ddlgen.ui",1250240179469
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1250240179469
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1250240179469
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.debugger.core.ui",1250240179469
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.routineeditor.ui",1250240179469
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlbuilder",1250240179469
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.debugger.core",1250240179470
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1250240179470
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.0.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1250240179470
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqlscrapbook",1250240179470
stopped,bundle,org.eclipse.datatools.sqltools.sqleditor,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.sqleditor",1250240179470
stopped,bundle,org.eclipse.datatools.sqltools.editor.core.ui,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.editor.core.ui",1250240179471
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.tabledataeditor",1250240179471
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.1.100.v200906020553,"org.eclipse.datatools.connectivity.sqm.core.ui",1250240179471
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.3.v200906020553,"org.eclipse.datatools.connectivity.ui.dse",1250240179471
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1250240179471
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.0.v200906020553,"org.eclipse.datatools.connectivity.oda.template.ui",1250240179471
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1250240179474
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20090527,"org.eclipse.pde.ds.ui",1250240179474
stopped,bundle,org.eclipse.ajdt.mylyn.ui,2.0.0.e35x-20090625-1000,"org.eclipse.ajdt.mylyn.ui",1250240179474
stopped,bundle,org.eclipse.ajdt.ui,2.0.0.e35x-20090625-1000,"org.eclipse.ajdt.ui",1250240179530
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090527,"org.eclipse.pde.runtime",1250240179530
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1250240179530
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.100.v20090424-1042,"org.eclipse.gmf.codegen.ui",1250240179550
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1250240179650
